title,date_time,content,label,state,location
"
                                    Maharashtra delegation in Paris to seek UNESCO World Heritage tag for Chhatrapati Shivaji Maharaj's forts",2025-02-23T16:20:42+05:30,"UNESCO tag for Chhatrapati Shivaji Maharaj forts:A high-level delegation, headed by Maharashtra Cultural Affairs Minister Ashish Shelar, is in Paris to advocate for UNESCO World Heritage status for 12 forts associated with Maratha king Chhatrapati Shivaji Maharaj, an official said on Sunday.
According to an official statement from  Shelar's office, the Maharashtra government has submitted a proposal to UNESCO under the theme 'Maratha Military Landscape of India', seeking the inclusion of 12 forts in the World Heritage list.
The forts of Raigad, Rajgad, Pratapgad, Panhala, Shivneri, Lohagad, Salher, Sindhudurg, Suvarnadurg, Vijaydurg, Khanderi and Jinji in Tamil Nadu have been included in the proposal, the statement said.
On the directives of Maharashtra Chief Minister Devendra Fadnavis, a delegation departed for Paris on Saturday to advocate for the state's case for UNESCO recognition.
The four-member delegation, including additional chief secretary Vikas Kharge, deputy director of the Directorate of Archaeology and Museums Hemant Dalvi, and architect Shikha Jain, will be in Paris till February 26.
The delegation will conduct technical and diplomatic presentations before the UNESCO authorities, emphasising the historical and architectural significance of these forts, the statement said.
Shelar conveyed his gratitude to Prime Minister Narendra Modi for forwarding Maharashtra's proposal to UNESCO and to Devendra Fadnavis for entrusting him with the responsibility of representing the state on a global stage.
He expressed hope that these efforts would secure international recognition for Chhatrapati Shivaji Maharaj’s forts while emphasizing the significance of Maharashtra’s cultural heritage. ""If UNESCO grants recognition to these forts, it will open avenues for enhanced conservation, preservation, and tourism development. This will help safeguard Maharashtra's cultural heritage and boost the local economy,"" Shelar said.
Also Read: Delhi: Akbar Road, Humayun Road signboards blackened, Chhatrapati Shivaji posters pasted over them
Also Read: 5 fascinating quotes on Chhatrapati Shivaji Maharaj
",India LatestNews,,
"
                                    Congress to hold AICC session in Ahmedabad on April 8-9",2025-02-23T18:02:26+05:30,"The Congress on Sunday (February 23) announced that it will hold its AICC session in Gujarat's Ahmedabad on April 8 and 9 to deliberate on the challenges posed by the BJP's anti-people policies, its alleged attack on the Constitution and charting the party's future road map.
In a statement, Congress general secretary, in-charge organisation, KC Venugopal, said the upcoming session will serve not only as a platform for crucial deliberations but also as a reaffirmation of the Congress party's collective resolve to address the concerns of the common people and present a strong alternative vision for the nation.
""This significant gathering will bring together AICC delegates from across the nation to deliberate on the challenges posed by the anti-people policies and the relentless attack on the Constitution and its values by the BJP, while charting the party's future course of action,"" Venugopal said.
Congress president Mallikarjun Kharge will preside over both the meetings, which will be attended by Congress Parliamentary Party chairperson Sonia Gandhi, Leader of Opposition in the Lok Sabha Rahul Gandhi, all chief ministers of the Congress-ruled states, national office bearers, senior party leaders, and other AICC delegates, Venugopal said.
This AICC session is being convened as a continuation of the resolutions adopted at the Belagavi Extended CWC meeting (Nava Satyagraha Baithak), which commemorated the 100th anniversary of Mahatma Gandhi's presidency at the 1924 Congress session, he said.
Recognising the urgent need to preserve, protect, and promote the legacy of Mahatma Gandhi, Dr Bhimrao Ambedkar, and the Constitution, it was decided that between January 26, 2025 and January 262026, the Congress will launch a massive, nationwide public outreach campaign called the Samvidhan Bachao Rashtriya Padayatra, along with an AICC session in Gujarat, the birthplace of Mahatma Gandhi, Venugopal recalled.
""The upcoming session will serve not only as a platform for crucial deliberations but also as a reaffirmation of the Congress party's collective resolve to address the concerns of the common people and present a strong alternative vision for the nation,"" he said.",India LatestNews,,
"
                                    Cancer daycare centres to be opened in all Indian districts in next 3 years: PM Modi at Bageshwar Dham | Watch",2025-02-23T16:21:47+05:30,"Prime Minister Narendra Modi addressed a gathering in Madhya Pradesh's Chhatarpur on Sunday, where he laid the foundation stone for Bageshwar Dham Medical and Science Research Institute. PM Modi said the government has decided that cancer medicines will be cheaper and day care centres will be opened in every district of the country.
Prime Minister Narendra Modi says, ""In this year's budget, many announcements have been made to fight cancer, and Modi has decided that cancer medicines will be made cheaper.  Cancer day care centres will be opened in every district of the country in the next 3 years...""

During his address, PM Modi praised 'safai karmis' (sanitation workers) and police personnel for their great job in making the Mahakumbh a successful event, Modi also said that in this ""great Kumbh of unity"", thousands of doctors and volunteers are engaged voluntarily with dedication and the spirit of service.""People who are going to this great Kumbh of unity are appreciating these efforts,"" he said
He further criticised those opposing the country's religious and cultural traditions and termed the ongoing Maha Kumbh in Prayagraj as the ""Maha Kumbh of Unity""
.
""Nowadays we see that a group of leaders mock religion, divide people, and often receive support from foreign powers to weaken the nation and faith. For centuries, those who hate Hinduism have attacked our beliefs, temples, culture, and traditions. They target our progressive religion and aim to break our unity. Amidst this, Dhirendra Shastri has been making people aware of the mantra of unity in the country for a long time. And now, with his new initiative to build a cancer institute, he brings hope for society and humanity. That means here in Bageshwar Dham, you will get the blessings of bhajan, food and healthy life,"" PM Modi said.
Dhirendra Shastri said a ward will be named in Bageshwar Dham Medical and Science Research Institute in the name of PM's late mother Heeraben Modi. The hospital is estimated to be completed within 2 to 3 years at a cost of around Rs 200 crores. The hospital aims to provide free medical treatment and care to cancer patients belonging to underprivileged and economically weaker sections of society.",India LatestNews,,
"
                                    Punjabi actress Sonia Mann joins AAP in presence of Arvind Kejriwal",2025-02-23T15:25:33+05:30,"Sonia Mann joins AAP:Punjabi actress and daughter of Kirti Kisan Union leader Baldev Singh, Sonia Mann, joined the Aam Aadmi Party (AAP) on Sunday in the presence of the party's national convenor Arvind Kejriwal.
Welcoming their new member, AAP's Punjab unit posted on X, ""Kirti Kisan Union leader S Baldev Singh Ji's daughter and Punjabi actress Sonia Mann joined Aam Aadmi Party under the leadership of National Convener Arvind Kejriwal. She is very welcome in the Aam Aadmi Party family.""

Other than the Punjab film industry, Sonia Mann has acted in films across multiple languages, including Malayalam, Hindi, Telugu, and Marathi. She made her debut with the Malayalam movie 'Hide n' Seek' and later starred in Kahin Hai Mera Pyar, marking her Hindi film debut in 2014. More recently, she appeared in Happy Hardy and Heer in 2020.
Beyond films, she has collaborated with well-known singers, including the late Punjabi singer Sidhu Moosewale in 2018.
Her father, Baldev Singh, was a farm leader and activist who was assassinated by Khalistani militants in the 1980s.
Notably, Arvind Kejriwal has shifted his focus to AAP’s Punjab unit following the party’s crushing defeat in the 2025 Delhi Assembly elections. With two years to prepare, he is aiming to solidify AAP’s position ahead of Punjab’s 2027 Assembly elections.
The former Delhi chief minister also suffered a personal setback, losing his New Delhi Assembly seat to BJP’s Parvesh Verma. After ruling the national capital for 13 years, AAP was ousted from power in Delhi.
Also Read:Mann Ki Baat: Obesity increased four-fold among children, PM Modi expresses concerns on health issue
Also Read:Next meeting with farmers in Chandigarh on Mar 19, talks held in cordial atmosphere: Shivraj Chouhan",India LatestNews,,
"
                                    Vasundhara Oswal, daughter of Indian-origin billionaire, speaks out after ordeal in Ugandan prison",2025-02-23T16:34:37+05:30,"Vasundhara Oswal, the 26-year-old daughter of Indian-origin billionaire Pankaj Oswal, has opened up about her harrowing ordeal in Uganda, where she was detained for more than three weeks on false charges of kidnapping and attempting to murder a former employee of her father’s company. The accusations were later proven to be unfounded when the supposed victim, Mukesh Menaria, was discovered alive in Tanzania.
Vasundhara Oswal, the daughter of Indian-origin billionaires Pankaj and Radhika Oswal, is a prominent business leader who has made significant strides in the corporate world. Serving as the Executive Director (Finance) of PRO Industries and Director General of Axis Minerals, she oversees major projects, including one of the largest bauxite mining operations in Guinea. Under her leadership, both companies have achieved substantial growth, launched sustainability initiatives, and improved their financial health. Oswal, a graduate in Finance from a prestigious Swiss university, is also known for her contributions to ecological efforts, such as implementing a Zero Liquid Discharge program and a CO2 capture facility. Recognized for her accomplishments, she was named Inspiring Woman of the Year by The Economic Times and awarded the Global Youth Icon Award in 2023. Additionally, she has led social initiatives in East Africa, benefiting underprivileged communities.
Despite her achievements and influential role in the business world, her detention in Uganda was marked by a series of human rights abuses that have shocked her family and supporters.
The controversy began on October 1, 2024, when Vasundhara Oswal was arrested in Uganda, and accused of kidnapping and attempting to murder Menaria. Despite being told that the man was still alive on October 10, she remained incarcerated until October 21, facing brutal conditions during her detention. She was initially kept in a high-security facility alongside convicted murderers and human traffickers. Oswal has now come forward to label her treatment as a ""gross violation of human rights.""
In a recent interview with news agency PTI, Oswal described the conditions she faced while in Ugandan custody. She claimed that she was denied basic necessities like food, water, and access to a washroom. ""My parents had to bribe police officers through lawyers to bring me food, water, and basic necessities,"" she revealed. The situation was even more distressing when she alleged that the police had searched her property without a warrant and coerced her into giving a statement without legal representation. “They said, ‘We are in Uganda; we can do anything; you’re not in Europe anymore,’” Oswal recalled.
Despite submitting a police bond and producing evidence that Menaria was alive, Oswal remained in detention. She was eventually charged with misdemeanor confinement, but Oswal believes the charges were a tactic to extort money from her family. She claims the Ugandan police acted without proper investigation, focusing instead on obtaining bribes. Her passport was held hostage until December 10, 2024, and the legal process only concluded when the charges were dismissed on December 19, 2024.
Oswal’s experience in Uganda has raised serious concerns about the treatment of foreign investors and the legal practices in the country. She called the Ugandan authorities’ actions a direct assault on her human rights, stating that the situation reflects poorly on the country's treatment of international business leaders. “I feel like the other governments have already corrected their mistakes, and they have used the law correctly, not in a manipulative manner,” she said. ""So, this is more up to the Ugandan government to correct its mistakes toward an investor who has spent the last three years in their country building their business.""
Throughout her ordeal, Oswal has garnered support from various international communities. In 2023, she was named ""Inspiring Woman of the Year"" by The Economic Times and recognized as a Global Youth Icon. However, the pain of her detention is still fresh, and she has vowed to explore all legal remedies for the mistreatment she endured during her imprisonment.
As Vasundhara Oswal moves forward, her case serves as a reminder of the challenges faced by foreign investors navigating legal systems that may be prone to corruption or negligence. She has vowed to seek justice for the human rights violations she suffered and hopes that the Ugandan government will take accountability for its actions.
(Inputs from PTI)",India LatestNews,,
"
                                    Pakistan’s new Gwadar airport has links to China | Know about the hush-hush inauguration, shocking details ",2025-02-23T12:45:55+05:30,"Pakistan’s new Gwadar International Airport, entirely  financed by China, is a conundrum built at a steep cost of USD 240 million. With no passengers, no planes and a hush-hush inaugural ceremony, the airport invokes mystery over its construction. Located in the coastal city of Gwadar and completed in October 2024, the airport is a stark contrast to the impoverished, restive southwestern Balochistan province around it.
However, authorities have hailed it as ""transformational"" but there's scant evidence of change in Gwadar. The city isn't connected to the national grid — electricity comes from neighboring Iran or solar panels — and there isn't enough clean water. An airport with a 400,000 passenger capacity isn't a priority for the city's 90,000 people.
The answer: ""It is for China, so they can have secure access for their citizens to Gwadar and Balochistan."" ""This airport is not for Pakistan or Gwadar,"" Azeem Khalid, an international relations expert who specializes in Pakistan-China ties made it very clear.
The inauguration of the Gwadar airport was delayed due to security concerns. There were fears the area's mountains, and their proximity to the airport, could be the ideal launchpad for an attack. Instead, Pakistani Prime Minister Shehbaz Sharif and his Chinese counterpart Li Qiang hosted a virtual ceremony. The inaugural flight was off limits to the media and public.
Abdul Ghafoor Hoth, district president of the Balochistan Awami Party, said not a single resident of Gwadar was hired to work at the airport, ""not even as a watchman.”
For the past decade, China has poured money into Balochistan and Gwadar as part of a multibillion dollar project that connects its western Xinjiang province with the Arabian Sea, called the China-Pakistan Economic Corridor or CPEC.
In December, Gwadar witnessed daily protests over living conditions in the area. The protests stopped 47 days later, once authorities pledged to meet the locals' demands, including better access to electricity and water.
No progress has been made on implementing those demands since then. Without local labour, goods or services, there can be no trickle-down benefit from CPEC, said international relations expert Khalid. As Chinese money came to Gwadar, so did a heavy-handed security apparatus that created barriers and deepened mistrust.
""The Pakistani government is not willing to give anything to the Baloch people, and the Baloch are not willing to take anything from the government,"" said Khalid.
(With inputs from the Associated Press)",Worlds LatestNews,,
"
                                     'Leaked' chats suggest Ashley St Clair planned to 'baby trap' Elon Musk, reports claim",2025-02-23T15:57:07+05:30,"Tesla CEO Elon Musk recently reacted to accusations made by influencer Ashley St Clair, who claimed that she secretly gave birth to Musk's child. The controversy began after leaked messages from 2023 surfaced, in which St Clair allegedly detailed her plans to ""seduce"" Musk to have his baby.
St Clair, 26, has now reportedly filed for full custody of the child and requested a court-ordered genetic test to confirm Musk's paternity. The influencer also leaked private text messages that she reportedly exchanged with Musk, which have sparked widespread media attention.
The situation took an unexpected turn when fellow MAGA influencer Isabella Moody shared what she claimed were text messages from St Clair. According to Moody, these exchanges, sent in May 2023, showed St Clair's clear intention to have a child with Musk.
According to reports, one of the messages allegedly reads, ""Elon followed me. I need his rocket babies. I'll take one for the team, seduce Elon, and get in a rocket to see what's up."" Another message reportedly showed St Clair asking for advice on how to ""seduce Elon Musk.""
Moody, who shared the texts on social media, stated, ""I wasn't going to post these, but now Ashley has leaked her private messages with Elon Musk after claiming she 'wanted privacy,' here's more proof she planned to baby trap him.""
While Musk has not issued an official statement on the matter, he previously responded to a post on X (formerly Twitter) suggesting that St Clair had been plotting to have his child for years. His response? A single word: ""Whoa.""
St Clair, who insists that their alleged relationship began through direct messages, has now filed a legal request for a court order to confirm the child's paternity. She is also seeking full custody.
Despite the swirling allegations, Musk has remained largely silent, neither confirming nor denying St Clair's claims. The legal battle continues as the influencer pursues her claim for custody and a genetic test to settle the matter.",Worlds LatestNews,,
"
                                    Italy's Meloni lauds PM Modi, Trump, hits out at 'liberal network': 'All mud they throw at us'",2025-02-23T12:30:19+05:30,"Italian Prime Minister Giorgia Meloni strongly defended global conservative leaders, including Indian Prime Minister Narendra Modi, while delivering a speech at the Conservative Political Action Conference (CPAC) in Washington, DC. Speaking via video link on Saturday, Meloni accused the Left of hypocrisy and alleged that they react with ""hysteria"" to the growing influence of right-wing leaders worldwide.
During her address, Meloni expressed admiration for Modi, highlighting his leadership and growing global influence alongside other right-wing figures such as former US President Donald Trump and Argentine President Javier Milei.
""When Bill Clinton and Tony Blair created a global leftist liberal network in the 90s, they were celebrated as statesmen. But when leaders like Trump, myself, (Javier) Milei, or perhaps (Narendra) Modi advocate for conservative policies, we are called threats to democracy,"" Meloni remarked. ""This is the Left’s double standard, but people are no longer fooled by it. Despite their relentless attacks, citizens continue to support us.""
Meloni also praised Trump, calling him a steadfast leader who remains committed to conservative values despite pressure from liberal establishments. ""The Left is nervous, and with Trump's victory, their irritation has turned into hysteria. Not only because conservatives are winning, but because conservatives are now collaborating globally,"" she said.

Her remarks underscored the rising prominence of conservative leaders like Modi, who has positioned India as a major global power while maintaining a strong nationalist agenda. Modi’s leadership has been praised for his economic policies, focus on national security, and efforts to assert India’s role on the world stage.
However, Meloni’s participation in CPAC drew sharp criticism from opposition leaders in Italy, especially following a controversial gesture by former Trump strategist Steve Bannon, which some interpreted as a Nazi salute. Calls for her to withdraw from the event grew after Jordan Bardella, leader of France’s National Rally (RN) party, distanced himself from CPAC over the controversy.
Elly Schlein, leader of Italy’s centre-left Democratic Party, condemned Meloni’s association with the event, stating, ""She should disassociate herself from this extremist gathering. She has remained silent about Trump’s attacks on Ukraine and the European Union, failing to stand up for Italy and European interests.""
Despite these criticisms, Meloni defended her stance, emphasizing that transatlantic ties would remain strong under a Trump administration. ""The United States and Europe will continue to stand together under Trump's leadership,"" she assured.
Her remarks come at a time when global politics is witnessing a shift toward right-wing leadership, with figures like Modi playing a key role in shaping international alliances and conservative governance.
",Worlds LatestNews,,
"
                                    Germany elections: Voting underway in high-stake polls to elect new Parliament | All you need to know",2025-02-23T13:38:08+05:30,"The voting for the high-stakes German elections is currently underway to elect the new Bundestag (German Parliament). German voters are heading to polling stations to elect a new parliament that will determine how the country is run for the next four years.
The elections are happening seven months ahead of schedule as the coalition government of Chancellor Olaf Scholz collapsed after he lost a confidence vote on December 16, 2024. The Parliament was dissolved by President Frank-Walter Steinmeier on December 27. The government collapsed after Scholz fired Finance Minister Christian Lindner in early November. The move proved the pinnacle of change as the ruling three-party coalition relied on Lindner’s pro-business party.
The voting starts after polling stations open from 8 am to 6 pm (0700 GMT-1700 GMT). German voters can also exercise their franchise by postal ballot, but their ballot must arrive by the time polling stations close on election day to be counted.
The vote counting will begin immediately after voting ends. The general picture of the outcome is likely to become clear very quickly due to exit polls. However, a final official result is expected early Monday.
In the ongoing elections, four candidates are running to be Germany’s next leader: incumbent Chancellor Olaf Scholz of the centre-left Social Democrats; Friedrich Merz of the mainstream conservative Christian Democratic Union party, current Vice Chancellor Robert Habeck of the environmentalist Greens, and Alice Weidel of the far-right, anti-immigration Alternative for Germany, or AfD.
The polls suggest the centre-right opposition Union bloc — the Christian Democratic Union and the Christian Social Union — are supposed to win the most seats in the Bundestag, still falling well short of a majority to govern alone. If the poll yields the same, they would need to form a coalition with at least one other party to govern.
The far-right, anti-immigration Alternative for Germany party, or AfD, is polling strongly. However, it is unlikely that it would become part of the government as other parties have said that they won’t work with it.
(With inputs from AP)",Worlds LatestNews,,
"
                                    Muhammad Yunus invites Elon Musk to visit Bangladesh for Starlink satellite service launch ",2025-02-23T17:06:24+05:30,"Bangladesh's interim government's Chief Adviser, Muhammad Yunus, has invited top US businessman and SpaceX CEO Elon Musk to visit the country and launch the Starlink satellite internet service. In a letter on February 19, Yunus told Musk that his visit to Bangladesh would allow him to meet young Bangladeshi men and women who would be among the main beneficiaries of this leading technology.
""Let us work together to deliver our mutual vision for a better future,"" he said in the letter.
""Integrating Starlink's connectivity into Bangladesh's infrastructure will have a transformational impact, particularly for Bangladesh's enterprising youth, rural and vulnerable women, and remote and underserved communities,"" the letter said.

Yunus also instructed his High Representative, Khalilur Rahman, to work closely with his SpaceX team to complete the necessary preparations for Starlink's launch in Bangladesh within the next 90 working days.
On February 13, Yunus had an extensive telephonic discussion with Musk to explore potential collaboration and advance the introduction of Starlink satellite internet services in Bangladesh.
Yunus also invited Elon Musk to visit Bangladesh for the potential launch of Starlink services, emphasizing the initiative's importance for national development. Musk responded positively to the invitation.
""I look forward to it,"" Musk responded at the time.
(With PTI inputs)
Also Read:France: 1 dead, 3 injured in knife attack at Mulhouse market, Macron calls it 'Islamist terrorism'
Also Read:Pope Francis in critical condition amid prolonged respiratory crisis, sepsis threat loons",Worlds LatestNews,,
